cliente_id,nome,cpf,contato,email,data_inicio,cidade
1,Roberto Dias,704.532.132-13,(81) 99935-2424,cliente1@email.com,2021-01-18,Recife
2,Bruno Araújo,814.532.448-45,(81) 91106-3615,cliente2@email.com,2021-09-28,Recife
3,Fernanda Costa,570.649.227-58,Não informado,cliente3@email.com,2020-11-18,Recife
4,Bruno Araújo,987.203.489-45,(81) 92307-4814,cliente4@email.com,2025-01-31,Olinda
5,Gabriela Teixeira,846.350.267-69,(81) 93803-9751,cliente5@email.com,2024-03-04,Recife
6,Eduardo Ramos,423.510.374-18,Não informado,cliente6@email.com,2022-05-14,Olinda
7,Cristina Azevedo,864.698.538-84,(81) 99830-5304,cliente7@email.com,2024-06-23,Recife
8,Priscila Andrade,494.490.710-69,(81) 97916-2040,cliente8@email.com,2025-12-07,Recife
9,Paulo Rezende,261.564.103-43,(81) 95808-8123,cliente9@email.com,2025-08-12,Recife
10,Patricia Moura,713.431.600-12,(81) 99689-1009,cliente10@email.com,2021-04-03,Olinda
11,Ana Lima,231.775.586-80,(81) 99727-3060,cliente11@email.com,2021-11-07,Olinda
12,André Borges,629.562.223-41,(81) 97118-8177,Não informado,2022-07-09,Recife
13,Simone Cunha,172.626.343-45,(81) 91514-6413,cliente13@email.com,2025-11-06,Recife
14,Daniel Batista,533.520.578-16,(81) 98062-6804,Não informado,2021-02-07,Recife
15,Amanda Castro,927.982.976-80,(81) 92235-8260,Não informado,2021-02-05,Recife
16,Jorge Brito,488.102.499-43,(81) 91960-3697,cliente16@email.com,2025-02-06,Olinda
17,Bruno Araújo,698.588.614-77,(81) 91936-1821,Não informado,2021-10-06,Olinda
18,Pedro Santos,734.183.529-94,(81) 95033-1651,cliente18@email.com,2025-11-11,Olinda
19,Alexandre Paiva,109.569.736-82,(81) 96180-2188,Não informado,2021-02-13,Recife
20,Felipe Barbosa,820.409.726-93,(81) 98179-9900,Não informado,2025-12-06,Recife
21,Rafael Alves,719.315.834-53,(81) 95462-5616,cliente21@email.com,2022-04-13,Recife
22,Priscila Andrade,441.889.233-91,(81) 91722-1058,cliente22@email.com,2022-12-08,Recife
23,Denise Nogueira,807.252.658-14,Não informado,cliente23@email.com,2024-02-21,Petrolina
24,Lucas Pereira,315.798.355-95,(81) 91653-6862,cliente24@email.com,2021-02-25,Recife
25,Vera Pires,283.854.440-62,(81) 97755-1406,cliente25@email.com,2022-10-13,Petrolina
26,Carlos Souza,124.775.297-61,(81) 94728-4652,cliente26@email.com,2023-09-06,Caruaru
27,Diego Nunes,282.694.371-14,(81) 92889-5279,cliente27@email.com,2021-03-20,Recife
28,Eduardo Ramos,101.632.925-78,(81) 91727-8144,cliente28@email.com,2022-03-18,Recife
29,Vanessa Correia,512.813.402-80,(81) 97691-6344,cliente29@email.com,2021-06-05,Recife
30,Vera Pires,393.315.540-84,Não informado,cliente30@email.com,2023-08-12,Recife
31,Larissa Ribeiro,779.748.734-52,(81) 95649-9445,cliente31@email.com,2021-01-17,Recife
32,Patricia Moura,524.744.689-34,(81) 92193-8461,cliente32@email.com,2024-04-21,Olinda
33,Cristina Azevedo,923.812.630-69,(81) 94585-3881,cliente33@email.com,2020-07-24,Petrolina
34,Lucas Pereira,536.950.661-67,(81) 98251-9270,cliente34@email.com,2021-10-13,Petrolina
35,Felipe Barbosa,550.179.830-46,(81) 94919-5499,cliente35@email.com,2022-08-18,Recife
36,Fernanda Costa,655.577.525-17,(81) 97678-6421,cliente36@email.com,2022-04-27,Recife
37,Mateus Queiroz,460.405.871-59,(81) 98814-1096,cliente37@email.com,2024-12-09,Petrolina
38,Thiago Gomes,230.737.646-13,(81) 93704-8657,cliente38@email.com,2024-06-01,Recife
39,Cristina Azevedo,445.879.488-45,(81) 98449-6355,cliente39@email.com,2024-09-22,Petrolina
40,Maria Oliveira,353.304.959-12,(81) 91659-1508,cliente40@email.com,2021-09-16,Recife
41,Juliana Ferreira,418.210.692-13,(81) 92876-3683,cliente41@email.com,2023-07-01,Petrolina
42,Denise Nogueira,915.679.901-15,(81) 95941-2983,cliente42@email.com,2023-11-23,Recife
43,Vitor Macedo,750.948.570-29,(81) 98102-6934,cliente43@email.com,2024-11-18,Recife
44,André Borges,385.561.349-69,(81) 95022-2419,cliente44@email.com,2024-04-01,Caruaru
45,Camila Martins,629.295.187-40,(81) 95526-1166,cliente45@email.com,2024-07-22,Recife
46,Fábio Vieira,779.695.477-70,(81) 94986-6016,cliente46@email.com,2026-03-17,Recife
47,Simone Cunha,222.860.648-98,(81) 94155-6169,cliente47@email.com,2022-01-28,Caruaru
48,Paulo Rezende,469.283.409-11,(81) 95853-4727,cliente48@email.com,2025-12-27,Recife
49,Simone Cunha,580.590.551-53,(81) 91200-5658,cliente49@email.com,2022-01-25,Petrolina
50,Juliana Ferreira,187.354.221-81,(81) 93444-5978,cliente50@email.com,2024-08-31,Recife
51,Leandro Pinto,881.312.740-37,(81) 91986-2625,cliente51@email.com,2022-12-19,Olinda
52,Camila Martins,395.823.389-99,(81) 91534-4792,Não informado,2025-02-02,Caruaru
53,Roberto Dias,946.245.173-17,(81) 93441-5352,cliente53@email.com,2021-11-10,Petrolina
54,Juliana Ferreira,712.140.542-51,(81) 98172-2317,Não informado,2022-10-22,Recife
55,Daniel Batista,581.631.767-66,(81) 91659-3870,cliente55@email.com,2023-02-13,Recife
56,Priscila Andrade,521.810.607-46,(81) 93634-6403,cliente56@email.com,2024-06-28,Petrolina
57,Fernanda Costa,573.523.155-34,(81) 91018-9889,cliente57@email.com,2025-10-24,Recife
58,Henrique Nascimento,129.745.723-40,(81) 98941-2989,cliente58@email.com,2021-10-10,Recife
59,Gustavo Lopes,833.398.621-44,(81) 93522-9165,cliente59@email.com,2024-08-28,Olinda
60,Aline Monteiro,891.908.974-63,(81) 92143-5526,cliente60@email.com,2023-10-24,Recife
61,Rodrigo Cavalcanti,595.453.440-80,(81) 98316-9824,cliente61@email.com,2026-02-03,Olinda
