processo_id,numero_processo,cliente_id,tipo,fase,status,advogado_responsavel,data_abertura,prazo_proximo,valor_causa,vara,observacoes
1,8986773-71.2022.6.45.5854,674,Civil,Inicial,Ativo,Dra. Cavalcante,2021-03-05,2025-04-21,410461.0,8ª Vara Criminal de Recife,Sem observações
2,4938178-62.2020.7.27.6072,1498,Civil,Recurso,Ativo,Dra. Fontes,2022-06-08,2025-06-10,Sem valor,9ª Vara Criminal de Recife,Sem observações
3,9636371-69.2025.8.67.4068,577,Civil,Instrução,Ativo,Dr. Melo,2020-11-09,2026-03-21,24764.0,13ª Vara Cível de Recife,Sem observações
4,1633270-27.2024.2.52.7034,1341,Civil,Execução,Encerrado,Dr. Melo,2021-10-23,2025-09-02,Sem valor,13ª Vara Criminal de Recife,Sem observações
5,1438459-62.2020.7.78.3410,149,Trabalhista,Sentença,Ativo,Dr. Melo,2021-05-14,2025-07-25,177557.0,5ª Vara Cível de Recife,Sem observações
6,4134515-43.2021.8.70.4879,405,Trabalhista,Acordo Extrajudicial,Encerrado,Dr. Melo,2021-01-28,2026-08-29,289974.0,16ª Vara Cível de Recife,Sem observações
7,4507711-38.2024.2.34.4732,177,Civil,Sentença,Encerrado,Dra. Fontes,2021-04-02,2025-11-13,164097.0,17ª Vara Criminal de Recife,Sem observações
8,3248366-98.2020.5.11.6279,181,Civil,Sentença,Acordo,Dra. Cavalcante,2025-12-25,2026-10-10,481388.0,14ª Vara Trabalhista de Recife,Sem observações
9,2112478-55.2024.2.51.9095,755,Trabalhista,Arquivado,Encerrado,Dr. Melo,2022-02-07,2025-02-09,339051.0,4ª Vara Criminal de Recife,Sem observações
10,1621418-87.2020.9.55.9337,511,Civil,Execução,Suspenso,Dra. Cavalcante,2020-07-15,Sem prazo delimitado,119187.0,14ª Vara Criminal de Recife,Aguardando documentos
11,6339808-70.2020.2.67.1325,1356,Trabalhista,Arquivado,Suspenso,Dra. Cavalcante,2026-02-22,2025-12-19,Sem valor,3ª Vara Cível de Recife,Sem observações
12,7398699-88.2025.6.55.3587,745,Trabalhista,Acordo Extrajudicial,Acordo,Dra. Cavalcante,2026-02-01,2026-09-21,Sem valor,20ª Vara Trabalhista de Recife,Sem observações
13,8168450-48.2020.2.65.4570,1225,Civil,Audiência,Ativo,Dr. Melo,2021-10-03,2026-06-10,Sem valor,12ª Vara Trabalhista de Recife,Sem observações
14,6418382-43.2020.8.63.9133,607,Trabalhista,Instrução,Suspenso,Dra. Fontes,2025-09-02,2026-02-18,194595.0,13ª Vara Cível de Recife,Sem observações
15,8816646-78.2020.7.70.9224,1359,Civil,Execução,Ativo,Dr. Melo,2021-03-31,2025-01-06,99388.0,17ª Vara Trabalhista de Recife,Sem observações
16,7243958-65.2020.5.25.5047,11,Trabalhista,Arquivado,Ativo,Dr. Barros,2026-01-26,2026-11-20,Sem valor,18ª Vara Cível de Recife,Sem observações
17,2118934-75.2023.5.97.9563,835,Trabalhista,Instrução,Suspenso,Dra. Cavalcante,2023-09-12,2026-07-11,294519.0,18ª Vara Cível de Recife,Sem observações
