"cliente_id","nome","cpf","contato","email","data_inicio","cidade"
"19","Alexandre Paiva","109.569.736-82","(81) 96180-2188","","2021-02-13","recife"
"234","Felipe Barbosa","927.654.523-85","(81) 92404-6632","cliente234@email.com","20 de julho de 2022","recife"
"370","Daniel Batista","181.804.898-71","","cliente370@email.com","3 de julho de 2021","RECIFE"
"183","Camila Martins","220.344.412-24","(81) 93194-6131","cliente183@email.com","2022-01-19","recife"
"779","Jorge Brito","843.949.736-65","(81) 91448-6586","cliente779@email.com","17/10/2024","Recife"
"931","Daniel Batista","479.473.340-50","(81) 95318-8066","cliente931@email.com","2026-01-22","Caruaru"
"1048","Camila Martins","395.661.581-64","(81) 91854-3882","cliente1048@email.com","2021-11-18","recife"
"320","Fernanda Costa","480.735.422-73","(81) 91692-8901","cliente320@email.com","30/01/23","Petrolina"
"666","Bruno Araújo","868.621.493-81","(81) 93711-8172","cliente666@email.com","17/05/24","Olinda"
"31","Larissa Ribeiro","779.748.734-52","(81) 95649-9445","cliente31@email.com","2021-01-17","RECIFE"
"1412","Thiago Gomes","319.934.595-62","(81) 97313-4339","cliente1412@email.com","07/12/2020","RECIFE"
"445","Simone Cunha","764.589.855-84","(81) 99841-2860","cliente445@email.com","2022-05-09","Caruaru"
"269","Alexandre Paiva","833.772.472-67","(81) 96439-8751","","2021-04-12","Recife"
"362","Larissa Ribeiro","485.696.779-77","(81) 93315-1301","cliente362@email.com","27/06/2020","Caruaru"
"900","Priscila Andrade","468.589.361-75","(81) 92487-9305","cliente900@email.com","03/04/2021","Recife"
"140","Vera Pires","956.506.906-73","(81) 93880-1595","cliente140@email.com","02/02/22","Recife"
"1234","André Borges","898.698.559-28","(81) 99404-9265","","3 de abril de 2021","Recife"
"193","Renata Freitas","907.451.798-16","(81) 93139-8951","","7 de julho de 2020","Recife"
"439","Mariana Fonseca","982.321.705-70","(81) 99548-9015","cliente439@email.com","10 de março de 2025","RECIFE"
"636","Daniel Batista","503.669.937-78","(81) 97640-1323","cliente636@email.com","11/12/2025","Olinda"
"1360","Renata Freitas","561.660.608-55","(81) 94465-6259","","27/01/2022","Olinda"
"73","Isabela Cardoso","942.753.480-23","(81) 95295-7242","cliente73@email.com","15/08/22","recife"
"709","Priscila Andrade","972.530.316-38","(81) 91534-5749","cliente709@email.com","05/02/2025","Olinda"
"1245","Jorge Brito","831.517.210-39","(81) 93674-4351","cliente1245@email.com","23 de maio de 2022","Recife"
"1134","Larissa Ribeiro","825.225.504-38","(81) 95222-6162","cliente1134@email.com","02/08/2021","Recife"
"806","Camila Martins","715.521.803-40","(81) 98925-9014","cliente806@email.com","2020-04-28","Petrolina"
"1107","Fábio Vieira","678.240.336-62","(81) 92249-2690","cliente1107@email.com","28 de junho de 2020","recife"
"624","Paulo Rezende","192.914.808-52","(81) 99757-9060","cliente624@email.com","05/07/2022","RECIFE"
"1469","Natalia Mendes","201.749.247-28","(81) 98908-6071","cliente1469@email.com","8 de fevereiro de 2023","Recife"
"1283","Simone Cunha","472.131.479-85","(81) 98951-2190","cliente1283@email.com","22 de outubro de 2024","Recife"
"899","Ana Lima","618.692.841-76","(81) 92521-3868","cliente899@email.com","2021-05-13","Recife"
"1152","Simone Cunha","245.811.679-88","(81) 97676-2930","cliente1152@email.com","2024-11-13","Petrolina"
"793","Marcos Carvalho","953.541.124-98","(81) 93070-1558","cliente793@email.com","2021-11-14","recife"
"1355","Rodrigo Cavalcanti","282.851.462-61","(81) 93527-4016","cliente1355@email.com","22/08/20","Olinda"
"772","Renata Freitas","451.547.159-40","(81) 96763-4172","","08/08/2022","Olinda"
"233","Patricia Moura","479.490.478-33","(81) 97349-4029","","30 de dezembro de 2024","Petrolina"
"1056","Beatriz Rocha","576.495.769-65","","cliente1056@email.com","15/11/20","recife"
"750","Rafael Alves","537.577.530-62","(81) 98673-6803","","04/03/2025","Petrolina"
"1078","Paulo Rezende","703.742.910-18","(81) 91293-7673","cliente1078@email.com","27 de abril de 2025","Petrolina"
"64","Mariana Fonseca","741.835.877-72","(81) 97226-6188","","25/01/2026","Olinda"
"1299","Denise Nogueira","472.506.263-36","(81) 96774-2311","cliente1299@email.com","01/05/2026","recife"
"1050","CAMILA MARTINS","612.616.158-60","(81) 99409-1339","cliente1050@email.com","6 de julho de 2021","Olinda"
"156","Bruno Araújo","115.316.294-25","(81) 96455-5967","cliente156@email.com","2025-05-15","Petrolina"
"1080","Thiago Gomes","933.659.526-12","(81) 95483-9769","cliente1080@email.com","17/08/25","recife"
"783","João Silva","383.724.664-50","(81) 91959-2303","cliente783@email.com","19/09/20","Caruaru"
"890","Beatriz Rocha","670.643.936-47","(81) 99955-5271","cliente890@email.com","30/03/2020","RECIFE"
"1296","Felipe Barbosa","579.403.318-56","(81) 94001-2125","cliente1296@email.com","2024-11-28","Caruaru"
"1077","Sonia Tavares","643.500.641-85","(81) 99273-5480","cliente1077@email.com","16/03/2022","Petrolina"
"37","Mateus Queiroz","460.405.871-59","(81) 98814-1096","cliente37@email.com","2024-09-12","Petrolina"
"893","DANIEL BATISTA","389.688.441-91","(81) 99827-9061","cliente893@email.com","01/10/2020","recife"
"358","Daniel Batista","592.672.302-72","(81) 93136-3209","cliente358@email.com","2024-06-07","recife"
