processo_id,numero_processo,cliente_id,tipo,fase,status,advogado_responsavel,data_abertura,prazo_proximo,valor_causa,vara,observacoes
1,8986773-71.2022.6.45.5854,674,Civil,Inicial,Em recurso,Dra. Cavalcante,03-05-2021,21-04-2025,R$ 410461.00,8ª Vara Criminal de Recife,Aguardando documentos
2,4938178-62.2020.7.27.6072,1498,Civil,Recurso,Ativo,Dra. Fontes,06-08-2022,06-10-2025,R$ 253333.14,9ª Vara Criminal de Recife,Em negociação
3,9636371-69.2025.8.67.4068,577,Civil,Instrução,Ativo,Dr. Melo,09-11-2020,21-03-2026,R$ 24764.00,13ª Vara Cível de Recife,Não informado
4,1633270-27.2024.2.52.7034,1341,Civil,Execução,Encerrado,Dr. Melo,23-10-2021,09-02-2025,R$ 253333.14,13ª Vara Criminal de Recife,Não informado
5,1438459-62.2020.7.78.3410,149,Trabalhista,Sentença,Ativo,Dr. Melo,14-05-2021,25-07-2025,R$ 177557.00,5ª Vara Cível de Recife,Não informado
6,4134515-43.2021.8.70.4879,405,Trabalhista,Acordo extrajudicial,Encerrado,Dr. Melo,28-01-2021,29-08-2026,R$ 289974.00,16ª Vara Cível de Recife,Em negociação
7,4507711-38.2024.2.34.4732,177,Civil,Sentença,Encerrado,Dra. Fontes,04-02-2021,13-11-2025,R$ 164097.00,17ª Vara Criminal de Recife,Em negociação
8,3248366-98.2020.5.11.6279,181,Civil,Sentença,Encerrado,Dra. Cavalcante,25-12-2025,10-10-2026,R$ 481388.00,14ª Vara Trabalhista de Recife,Em negociação
9,2112478-55.2024.2.51.9095,755,Trabalhista,Arquivado,Encerrado,Dr. Melo,02-07-2022,09-02-2025,R$ 339051.00,4ª Vara Criminal de Recife,Não informado
10,1621418-87.2020.9.55.9337,511,Civil,Execução,Suspenso,Dra. Cavalcante,15-07-2020,Não informado,R$ 119187.00,14ª Vara Criminal de Recife,Cliente não responde
11,6339808-70.2020.2.67.1325,1356,Trabalhista,Arquivado,Suspenso,Dra. Cavalcante,22-02-2026,19-12-2025,R$ 253333.14,3ª Vara Cível de Recife,Não informado
