processo_id,numero_processo,cliente_id,tipo,fase,status,advogado_responsavel,data_abertura,prazo_proximo,valor_causa,vara,observacoes
1,8986773-71.2022.6.45.5854,674,cível,inicial,appeal,Dra. Cavalcante,5 de março de 2021,2025-04-21,410461.00,8ª Vara Criminal de Recife,aguardando documentos
2,4938178-62.2020.7.27.6072,1498,civil,recurso,active,Dra. Fontes,2022-08-06,2025-10-06,,9ª Vara Criminal de Recife,em negociação
3,9636371-69.2025.8.67.4068,577,cível,instrução,active,dr. melo,11/09/2020,21 de março de 2026,24764.00,13ª Vara Cível de Recife,
4,1633270-27.2024.2.52.7034,1341,civil,execução,encerrado,Dr. Melo,23/10/2021,2025-02-09,,13ª Vara Criminal de Recife,
5,1438459-62.2020.7.78.3410,149,trabalhista,sentença,active,dr. melo,14/05/21,25/07/25,177557,5ª Vara Cível de Recife,
6,4134515-43.2021.8.70.4879,405,TRABALHISTA,acordo extrajudicial,encerrado,Dr. Melo,28/01/21,29/08/2026,289974.00,16ª Vara Cível de Recife,em negociação
7,4507711-38.2024.2.34.4732,177,civil,sentença,encerrado,Dra. Fontes,2021-02-04,13/11/2025,164097.00,17ª Vara Criminal de Recife,em negociação
8,3248366-98.2020.5.11.6279,181,civil,sentença,settlement,Dra. Cavalcante,2025-12-25,10/10/26,481388.00,14ª Vara Trabalhista de Recife,em negociação
9,2112478-55.2024.2.51.9095,755,TRABALHISTA,arquivado,encerrado,dr. melo,7 de fevereiro de 2022,02/09/2025,339051.00,4ª Vara Criminal de Recife,
10,1621418-87.2020.9.55.9337,511,civil,execução,suspenso,DRA. CAVALCANTE,15/07/2020,,119187,14ª Vara Criminal de Recife,cliente não responde
11,6339808-70.2020.2.67.1325,1356,TRABALHISTA,arquivado,suspended,Dra. Cavalcante,22/02/26,19/12/25,,3ª Vara Cível de Recife,
12,7398699-88.2025.6.55.3587,745,TRABALHISTA,acordo extrajudicial,settlement,Dra. Cavalcante,1 de fevereiro de 2026,21/09/26,,20ª Vara Trabalhista de Recife,aguardando documentos
13,8168450-48.2020.2.65.4570,1225,civil,audiência,appeal,Dr. Melo,2021-03-10,06/10/26,,12ª Vara Trabalhista de Recife,em negociação
14,6418382-43.2020.8.63.9133,607,trabalhista,instrução,suspenso,Dra Fontes,09/02/25,2026-02-18,194595.00,13ª Vara Cível de Recife,urgente
15,8816646-78.2020.7.70.9224,1359,civil,execução,active,dr. melo,31/03/2021,6 de janeiro de 2025,99388,17ª Vara Trabalhista de Recife,em negociação
16,7243958-65.2020.5.25.5047,11,Trabalhista,arquivado,ativo,Dr. Barros,2026-01-26,20/11/26,,18ª Vara Cível de Recife,
17,2118934-75.2023.5.97.9563,835,trabalhista,instrução,suspended,Dra. Cavalcante,2023-12-09,2026-11-07,R$ 294.519,18ª Vara Cível de Recife,
18,2895065-46.2022.7.67.1438,1098,TRABALHISTA,sentença,acordo,DRA. CAVALCANTE,24 de novembro de 2025,13/09/26,25454,20ª Vara Cível de Recife,
19,8168054-14.2024.6.50.1232,209,trabalhista,inicial,closed,DRA. CAVALCANTE,11/07/2023,2026-03-30,R$ 283.193,14ª Vara Trabalhista de Recife,
20,6425355-10.2021.6.53.2041,1435,TRABALHISTA,acordo extrajudicial,ATIVO,Dr. Melo,17/11/25,11/05/2025,17441.00,11ª Vara Cível de Recife,
21,2328070-99.2024.8.57.5561,1256,trabalhista,execução,Ativo,Dra. Cavalcante,2023-03-25,24 de fevereiro de 2026,468358.00,3ª Vara Criminal de Recife,aguardando documentos
22,1887163-62.2025.9.93.1037,1138,civil,recurso,appeal,Dr. Barros,2023-11-11,27/07/2026,124193.00,4ª Vara Cível de Recife,em negociação
23,7274275-74.2020.1.22.9780,1271,Civil,arquivado,ativo,Dra. Fontes,26/02/20,06/12/25,416171,1ª Vara Criminal de Recife,em negociação
24,6416661-36.2021.8.21.8496,383,TRABALHISTA,inicial,ativo,Dr. Barros,5 de maio de 2023,6 de junho de 2025,208689,15ª Vara Cível de Recife,
25,4433355-55.2023.8.48.9346,560,TRABALHISTA,instrução,ATIVO,Dr. Melo,22/06/24,31 de março de 2026,121743.00,19ª Vara Criminal de Recife,
26,5159219-49.2023.5.25.3676,733,Trabalhista,execução,appeal,Dr. Melo,07/03/22,2026-02-13,160063,15ª Vara Trabalhista de Recife,em negociação
27,2966787-79.2022.1.41.9944,662,cível,sentença,ativo,dr. melo,11/09/22,2025-09-14,273584.00,3ª Vara Trabalhista de Recife,cliente não responde
28,4064382-39.2022.4.13.8937,631,Trabalhista,audiência,closed,DRA. CAVALCANTE,07/10/2022,12/02/2026,245404,13ª Vara Cível de Recife,em negociação
29,3541821-31.2021.8.96.1927,1154,civil,execução,Encerrado,Dr. Barros,04/11/21,2025-03-04,R$ 121.194,20ª Vara Trabalhista de Recife,
30,1101935-78.2023.5.88.5299,456,Civil,arquivado,encerrado,Dr. Barros,16/07/2022,,R$ 233.108,15ª Vara Cível de Recife,
31,4229107-99.2020.7.61.3978,606,cível,sentença,suspended,Dr. Barros,18/04/20,22 de fevereiro de 2026,408229.00,8ª Vara Criminal de Recife,
32,5050722-10.2024.8.29.4298,784,TRABALHISTA,arquivado,em recurso,Dr. Melo,25/06/2022,30/12/2025,R$ 444.878,10ª Vara Criminal de Recife,em negociação
33,8607512-63.2021.6.82.1039,16,trabalhista,arquivado,suspended,Dr. Melo,2021-01-25,19/02/2025,115963,16ª Vara Criminal de Recife,urgente
34,4314934-26.2021.7.14.7244,1237,civil,inicial,active,Dr. Melo,22 de janeiro de 2022,26/10/26,101576,9ª Vara Criminal de Recife,urgente
35,6003915-30.2025.6.37.7681,1053,Civil,inicial,ATIVO,dr. melo,2025-01-15,2026-09-29,413753,5ª Vara Criminal de Recife,
36,9686751-57.2022.7.62.3494,789,TRABALHISTA,execução,ativo,Dra. Cavalcante,19/09/23,28/03/26,237751.00,12ª Vara Cível de Recife,cliente não responde
37,5035093-45.2021.1.27.3097,1433,civil,acordo extrajudicial,closed,Dra Fontes,18 de outubro de 2024,30 de dezembro de 2026,,3ª Vara Cível de Recife,
38,7141324-67.2025.3.86.3413,328,Trabalhista,acordo extrajudicial,encerrado,DRA. CAVALCANTE,2026-02-20,,422938.00,5ª Vara Cível de Recife,
39,1887163-62.2025.9.93.1037,234,TRABALHISTA,inicial,Encerrado,Dra Fontes,1 de maio de 2024,5 de maio de 2026,R$ 76.032,4ª Vara Criminal de Recife,
40,5266269-78.2021.7.59.1392,319,trabalhista,execução,encerrado,Dr. Barros,2025-09-30,14 de agosto de 2025,84808,1ª Vara Cível de Recife,
41,1438459-62.2020.7.78.3410,502,Civil,sentença,ativo,Dra. Fontes,23 de setembro de 2022,2025-03-16,,20ª Vara Cível de Recife,
42,4687348-31.2023.1.92.6907,1097,civil,recurso,acordo,Dra Fontes,28/07/2025,07/08/2026,R$ 474.508,4ª Vara Cível de Recife,em negociação
43,8097721-13.2023.1.47.8354,1367,TRABALHISTA,sentença,ativo,DRA. CAVALCANTE,18/10/2024,8 de julho de 2025,120515,5ª Vara Trabalhista de Recife,
44,2191287-57.2021.1.18.8228,648,trabalhista,acordo extrajudicial,ATIVO,Dra. Fontes,05/02/24,18 de novembro de 2025,,19ª Vara Trabalhista de Recife,
45,9108785-98.2021.3.78.6687,571,Trabalhista,instrução,settlement,DRA. CAVALCANTE,29/03/20,2026-10-03,,13ª Vara Criminal de Recife,
46,1165147-13.2020.2.47.5874,293,TRABALHISTA,acordo extrajudicial,active,Dr. Barros,2024-09-07,2025-07-03,,9ª Vara Criminal de Recife,
47,9057960-29.2025.5.10.6072,150,cível,execução,suspenso,Dra. Cavalcante,25/11/24,04/11/26,R$ 82.250,16ª Vara Trabalhista de Recife,aguardando documentos
48,3376786-12.2020.7.64.5093,1433,Civil,acordo extrajudicial,ativo,DRA. CAVALCANTE,14 de março de 2025,21/05/25,277499.00,1ª Vara Cível de Recife,
49,7271178-97.2023.5.84.4243,1252,civil,acordo extrajudicial,suspenso,dr. melo,25/03/2026,2025-05-28,R$ 388.326,19ª Vara Criminal de Recife,cliente não responde
50,1878000-50.2025.7.58.1197,649,Trabalhista,acordo extrajudicial,encerrado,Dr. Barros,27 de junho de 2024,01/04/2026,R$ 335.374,7ª Vara Cível de Recife,
51,7110796-41.2020.3.80.5362,284,civil,execução,suspenso,Dr. Melo,2025-08-23,10 de maio de 2025,R$ 460.961,7ª Vara Trabalhista de Recife,em negociação
52,4433355-55.2023.8.48.9346,1384,civil,arquivado,Encerrado,Dr. Barros,04/08/25,16/10/2026,451599,20ª Vara Trabalhista de Recife,urgente
53,2658962-39.2022.5.95.8856,273,cível,arquivado,ativo,DRA. CAVALCANTE,20/02/2023,23/02/2025,330914,19ª Vara Cível de Recife,
54,2884639-86.2023.2.31.8737,1338,civil,audiência,ativo,Dra. Cavalcante,10/04/2023,02/05/26,283185.00,7ª Vara Criminal de Recife,cliente não responde
55,1667591-67.2025.4.69.9424,1182,Civil,instrução,active,dr. melo,07/09/2020,2025-10-06,473516,7ª Vara Trabalhista de Recife,
56,2824928-33.2020.1.90.6467,1300,Civil,acordo extrajudicial,closed,Dra. Fontes,24 de junho de 2023,27/12/2025,332399.00,17ª Vara Trabalhista de Recife,urgente
